section-result-title,section-result-details,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-location,section-result-description,section-result-info,e0HygkTYhQy__attribute-content,section-result-info 2
Cebu Fastfood,Fast Food,,,,,,,,
Triple V Express Fastfood,Fast Food,,,,,,,,
McDonald's,Fast Food,4.0,(57),₱,"E-Mall, Sanciangko St",Iconic fast-food burger & fries chain,Open until 8:00 pm,,
ESKINA Fastfood,Fast Food,,,,"Room 208, Rivergate Building, Mango Avenue",,,,
Bayadpo Delivery And Services,Fast Food,,,,"Corner Plaridel Street, Ac Cortes Avenue",,,,
Orange Brutus,Fast Food,2.2,(6),,"12, One Pavilion Mall, 22 R. Duterte St, Banawe",,Open until 8:30 pm,,
Burger King,Fast Food,4.2,(713),₱₱,F. Cabahug St,Fast-food chain for grilled burgers,Open until 5:00 pm,,
Jollibee,Fast Food,3.6,(31),₱,"Level 1, Geonzon St, Salinas Dr",Fast-food chain with Filipino flavors,,Delivery,
Chrisdon Restaurant,Fast Food,4.5,(2),,155 F Villa St,,,,
JohnChrisTyl Fastfood,Restaurant,5.0,(1),,"6000, 69 F. Gonzales St",,Opens at 6:00 am,,Closed
"Remros Food, Inc.",Fast Food,,,,Cebu Business Park,,,,
Jollibee,Fast Food,4.0,(128),₱,A. Borromeo St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
M & J Fastfood,Takeout Restaurant,,,,Don Andres Soriano Avenue,,,Takeaway,
Ahbwu Fastfood,Restaurant,,,,15 Julio Diaz St,,,,
Bon Chon Chicken,Fast Food,4.1,(15),₱₱,"SM City Cebu, Cebu Port Center, uan Luna Ave.",Korean fried chicken specialist,Open until 9:00 pm,,
Norway Fastfood,Restaurant,,,,231 Tres de Abril St,,,,
Chowking,Fast Food,3.9,(21),₱,"Upper Ground Floor., SM City Cebu, Cebu City",,,,Temporarily closed
Prito Kings,Fast Food,2.0,(1),,"Sacred Heart School, 1774 General Maxilom Avenue Extension",,,,
Chowking,Fast Food,4.0,(10),₱,"G/F Pacific Mall Mandaue, Estancia-Ibabaw, Mandaue City",,,,Temporarily closed
Aley's Fastfood,Takeout Restaurant,,,,F.F. Cruz St,,Open until 8:00 pm,Takeaway,
Sherly Ann Fastfood,Takeout Restaurant,2.5,(2),,Nacua Compound,,Open until 10:00 pm,Takeaway,
McDonald's,Fast Food,4.1,(314),₱,P. Burgos St,Iconic fast-food burger & fries chain,,Delivery,
DG's Fastfood,Filipino,4.3,(3),,Sanciangko St,Iconic fast-food burger & fries chain,Open until 11:30 pm,,
Arlene's Fastfood,Restaurant,,,,Imus Ave,,,,
Noelle Marie's Restaurant,Fast Food,,,,"79, Don Gil Garcia Street, Capitol Site",,,,
McDonald's,Fast Food,4.1,(215),₱,Colon St,Iconic fast-food burger & fries chain,Open until 8:30 pm,Delivery,
Zhar Fastfood And Catering Services,Restaurant,4.2,(713),,V Rama Ave,Fast-food chain for grilled burgers,Open until 5:00 pm,,
McDonald's,Fast Food,4.3,(46),₱,Basak-Marigondon Rd,Iconic fast-food burger & fries chain,,Delivery,
McDonald's,Fast Food,3.9,(418),₱,"The Walk, Abad St",Iconic fast-food burger & fries chain,,Delivery,
Burger King,Fast Food,4.1,(61),₱₱,"Cebu SM Seaside, Lower Ground Floor, SM Seaside City Cebu, South Coastal Road corner Mambaling Extension, South Road Properties",Fast-food chain for grilled burgers,Opens at 6:00 am,,Closed
McDonald's,Fast Food,3.7,(202),₱,"Cebu IT Tower, 1,Arch, G/F Archbishop Reyes Ave",Iconic fast-food burger & fries chain,,Delivery · Takeaway,
McDonald's,Fast Food,4.1,(186),₱,V.Albano,Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery,
McDonald's,Fast Food,4.0,(576),₱,"Hi-Way, M.L. Quezon National Highway",Iconic fast-food burger & fries chain,,Delivery,
Chowking,Fast Food,4.2,(80),₱,"Ground Floor, Elizabeth Mall, Leon Kilat St cor. South SuperHighway",,,,Temporarily closed
Shevan Fast Food,Fast Food,4.5,(2),,122 Junquera Ext,Korean fried chicken specialist,Open until 10:00 pm,,
McDonald's,Fast Food,3.8,(253),₱,"Aegis Tower, G/F, I. Villa St",Iconic fast-food burger & fries chain,,Delivery · Takeaway,
McDonald's,Fast Food,4.1,(561),₱,"NH1, National Hwy",Iconic fast-food burger & fries chain,,Delivery · Takeaway,Temporarily closed
McDonald's,Fast Food,4.0,(277),₱,"JY Square Mall, G/F, 1 Salinas Dr",Iconic fast-food burger & fries chain,,Delivery · Takeaway,
Jollibee,Fast Food,4.2,(362),₱,"Pueblo Verde, Mepz 2",Fast-food chain with Filipino flavors,,Delivery,Temporarily closed
